timestamp, index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/08/10 16:11:06.651, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:06.655, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:07.657, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:07.661, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:08.664, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:08.668, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:09.670, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:09.674, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:10.677, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:10.681, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:11.683, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:11.687, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:12.690, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:12.694, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:13.696, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:13.698, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:14.700, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:14.701, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:11:15.704, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:11:15.705, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
